"cas"	"cluster"
"408"	"2113-57-7"	9
"409"	"94280-72-5"	9
"410"	"69045-78-9"	9
"411"	"7779-30-8"	9
"412"	"88-18-6"	9
"413"	"111-16-0"	9
"414"	"8000-41-7"	9
"415"	"51934-41-9"	9
"416"	"106-29-6"	9
"417"	"99-71-8"	9
"418"	"120011-70-3"	10
"419"	"114-80-7"	10
"420"	"124756-23-6"	10
"421"	"1646-87-3"	10
"422"	"118909-22-1"	10
"423"	"13932-13-3"	10
"424"	"7447-39-4"	10
"425"	"7681-65-4"	10
"426"	"1074-12-0"	10
"427"	"115-79-7"	10
"428"	"7647-10-1"	10
"429"	"101-26-8"	10
"430"	"35575-96-3"	10
"431"	"116-38-1"	10
"432"	"149062-75-9"	10
"433"	"133005-40-0"	10
"434"	"321-64-2"	10
"435"	"1684-40-8"	10
"436"	"118499-70-0"	10
"437"	"27848-84-6"	10
"438"	"13820-41-2"	10
"439"	"102518-79-6"	10
"440"	"943-41-9"	11
"441"	"122-52-1"	11
"442"	"50700-72-6"	11
"443"	"26576-84-1"	11
"444"	"286453-46-1"	11
"445"	"112400-85-8"	11
"446"	"NOCAS_49388"	11
"447"	"NOCAS_49389"	11
"448"	"13311-31-4"	11
"449"	"344774-05-6"	11
"450"	"2882-19-1"	11
"451"	"6211-15-0"	11
"452"	"671-16-9"	11
"453"	"34681-23-7"	11
"454"	"119-27-7"	11
"455"	"26576-85-2"	11
"456"	"125652-55-3"	11
"457"	"845835-03-2"	11
"458"	"258273-67-5"	11
"459"	"597581-48-1"	11
"460"	"135-09-1"	11
"461"	"41814-78-2"	11
"462"	"191217-81-9"	11
"463"	"104632-26-0"	11
"464"	"99617-34-2"	11
"465"	"554-92-7"	11
"466"	"1084-65-7"	11
"467"	"85798-08-9"	11
"468"	"25167-70-8"	11
"469"	"4093-35-0"	11
"470"	"6674-22-2"	11
"471"	"73-48-3"	11
"472"	"111988-49-9"	11
"473"	"156137-99-4"	11
"474"	"478149-53-0"	11
"475"	"298-06-6"	11
"476"	"335104-84-2"	11
"477"	"4659-45-4"	11
"478"	"59263-76-2"	11
"479"	"118288-08-7"	11
"480"	"361-37-5"	11
"481"	"5868-05-3"	11
"482"	"527680-56-4"	11
"483"	"202409-33-4"	11
"484"	"541-22-0"	11
"485"	"350493-08-2"	11
"486"	"117947-85-0"	11
"487"	"32353-64-3"	11
"488"	"343952-33-0"	11
"489"	"1393-63-1"	11
"490"	"26155-31-7"	11
"491"	"10563-29-8"	11
"492"	"152-02-3"	11
"493"	"79-77-6"	11
"494"	"14901-07-6"	11
"495"	"122892-31-3"	11
"496"	"142-72-3"	11
"497"	"1124-64-7"	11
"498"	"186088-50-6"	11
"499"	"874-80-6"	11
"500"	"390423-43-5"	11
"501"	"121-14-2"	11
"502"	"55750-06-6"	11
"503"	"629-03-8"	11
"504"	"76963-41-2"	11
"505"	"56839-43-1"	11
"506"	"28940-11-6"	11
"507"	"364-62-5"	11
"508"	"79-00-5"	11
"509"	"1497-49-0"	11
"510"	"113-42-8"	11
"511"	"66357-35-5"	11
"512"	"964-52-3"	11
"513"	"504-88-1"	11
"514"	"135410-20-7"	11
"515"	"50-63-5"	11
"516"	"139-40-2"	11
"517"	"81403-68-1"	11
"518"	"171596-29-5"	11
"519"	"104-32-5"	11
"520"	"123040-69-7"	11
"521"	"81-83-4"	11
"522"	"103922-33-4"	11
"523"	"123-77-3"	11
"524"	"2016-88-8"	11
"525"	"2609-46-3"	11
"526"	"53219-21-9"	11
"527"	"98892-75-2"	11
"528"	"227617-70-1"	11
"529"	"108203-70-9"	11
"530"	"402846-78-0"	11
"531"	"475575-45-2"	11
"532"	"765910-73-4"	11
"533"	"66104-23-2"	11
"534"	"589-15-1"	11
