cas,cluster,smiles,inchikey
151-73-5,5,[Na+].[Na+].[O-]P([O-])(=O)OCC(=O)[C@@]4(O)[C@@H](C)C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3CCC1=CC(=O)C=C[C@@]12C,PLCQGRYPOISRTQ-LWCNAHDDSA-L
2392-39-4,5,[Na+].[Na+].[O-]P([O-])(=O)OCC(=O)[C@@]4(O)[C@H](C)C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3CCC1=CC(=O)C=C[C@@]12C,PLCQGRYPOISRTQ-FCJDYXGNSA-L
2305-05-7,5,O=C1CCC(CCCCCCCC)O1,WGPCZPLRVAWXPW-UHFFFAOYSA-N
67-78-7,5,CC(=O)OCC(=O)[C@@]3(O)[C@@H](C[C@H]2[C@@H]4CCC1=CC(=O)C=C[C@]1(C)[C@@]4(F)[C@@H](O)C[C@@]23C)OC(C)=O,XGMPVBXKDAHORN-RBWIMXSLSA-N
60166-93-0,5,O=C(Nc1c(I)c(c(I)c(c1I)C(=O)NC(CO)CO)C(=O)NC(CO)CO)[C@H](C)O,XQZXYNRDCRIARQ-LURJTMIESA-N
1115-70-4,5,Cl.N=C(N)NC(=N)N(C)C,OETHQSJEHLVLGH-UHFFFAOYSA-N
82626-48-0,5,CN(C)C(=O)Cc1c(nc2ccc(C)cn12)c3ccc(C)cc3,ZAFYATHCZYHLPB-UHFFFAOYSA-N
562-49-2,6,CC(C)(CC)CC,AEXMKKGTQYQZCS-UHFFFAOYSA-N
64063-37-2,6,Clc1c(C)ccc(Cl)c1N,AYVZXDFCFQSWJD-UHFFFAOYSA-N
111-26-2,6,CCCCCCN,BMVXCPBXGZKUPN-UHFFFAOYSA-N
1633-05-2,6,[Sr+2].[O-]C([O-])=O,LEDMRZGFZIAGGB-UHFFFAOYSA-L
110-43-0,6,CC(=O)CCCCC,CATSNJVOTSVZJV-UHFFFAOYSA-N
5743-28-2,6,[Ca+2].O.O.OC=1C(=O)O[C@H]([C@@H](O)CO)C=1[O-].OC[C@H](O)[C@H]1OC(=O)C(O)=C1[O-],RGJHWLDSRIHFKY-FWCDDDAWSA-L
143-22-6,6,OCCOCCOCCOCCCC,COBPKKZHLDDMTB-UHFFFAOYSA-N
5632-47-3,6,O=NN1CCNCC1,CVTIZMOISGMZRJ-UHFFFAOYSA-N
5459-58-5,6,O=C(CC#N)OCCCC,DJACTCNGCHPGOI-UHFFFAOYSA-N
544-92-3,6,[Cu+].[C-]#N,DOBRDRYODQBAMW-UHFFFAOYSA-N
72269-48-8,6,CC(=O)OCCC\C=C\CCCCCCCC,DUCVQKMNGSZPAV-ZHACJKMWSA-N
6673-35-4,6,CC(C)NCC(O)COc1ccc(cc1)NC(C)=O,DURULFYMVIFBIR-UHFFFAOYSA-N
55566-30-8,6,OC[P+](CO)(CO)CO.[O-]S([O-])(=O)=O.OC[P+](CO)(CO)CO,YIEDHPBKGZGLIK-UHFFFAOYSA-L
2497-21-4,6,CCC(=O)C=CC,FEWIGMWODIRUJM-UHFFFAOYSA-N
36631-30-8,6,CC(C)CCCCCCCOC(=O)c1cc(C(=O)OCCCCCCCC(C)C)c(cc1)C(=O)OCCCCCCCC(C)C,FJFYFBRNDHRTHL-UHFFFAOYSA-N
122-60-1,6,c2ccc(OCC1CO1)cc2,FQYUMYWMJTYZTK-UHFFFAOYSA-N
3710-84-7,6,CCN(O)CC,FVCOIAYSJZGECG-UHFFFAOYSA-N
1271-19-8,6,[Cl-].[Cl-].C=2CC([Ti+2]C1=CC=CC1)=CC=2,HNUKMDPEDCSDKO-UHFFFAOYSA-L
7787-59-9,6,Cl[Bi]=O,GLQBXSIPUULYOG-UHFFFAOYSA-M
7785-70-8,6,CC2(C)[C@@H]1CC=C(C)[C@H]2C1,GRWFGVWFFZKLTI-RKDXNWHRSA-N
3179-47-3,6,C=C(C)C(=O)OCCCCCCCCCC,GTBGXKPAKVYEKJ-UHFFFAOYSA-N
840-65-3,6,O=C(OC)c1ccc2cc(ccc2c1)C(=O)OC,GYUVMLBYMPKZAZ-UHFFFAOYSA-N
1975-78-6,6,CCCCCCCCCC#N,HBZDPWBWBJMYRY-UHFFFAOYSA-N
67-66-3,6,ClC(Cl)Cl,HEDRZPFGACZZDS-UHFFFAOYSA-N
10016-20-3,6,O[C@@H]2[C@@H](O)[C@@H]1O[C@H]7O[C@H](CO)[C@@H](O[C@H]6O[C@H](CO)[C@@H](O[C@H]5O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O[C@H]2O[C@@H]1CO)[C@H](O)[C@H]3O)[C@H](O)[C@H]4O)[C@H](O)[C@H]5O)[C@H](O)[C@H]6O)[C@H](O)[C@H]7O,HFHDHCJBZVLPGP-RWMJIURBSA-N
109-89-7,6,CCNCC,HPNMFZURTQLUMO-UHFFFAOYSA-N
122-70-3,6,CCC(=O)OCCc1ccccc1,HVGZQCSMLUDISR-UHFFFAOYSA-N
578-46-1,6,O=[N+]([O-])c1ccc(C)cc1N,IGDYNWKWXUCIJB-UHFFFAOYSA-N
509-60-4,6,Oc1ccc2C[C@H]4N(C)CC[C@@]35[C@@H](Oc1c23)[C@@H](O)CC[C@@H]45,IJVCSMSMFSCRME-KBQPJGBKSA-N
626-56-2,6,CC1CCCNC1,JEGMWWXJUXDNJN-UHFFFAOYSA-N
2338-76-3,6,FC(F)(F)c1cccc(CC#N)c1,JOIYKSLWXLFGGR-UHFFFAOYSA-N
