"Gene","Overall_Centrality","Score_DC","Score_BC","Score_CC","Score_MCC","Score_DMNC","Rank_DC","Rank_BC","Rank_CC","Rank_MCC","Rank_DMNC"
"TGM4",0.125808655113949,2,704,49.85357143,2,0,100,31,119,100,96
"FABP5",0.125642913814721,2,36.77623984,55.21071429,2,0,100,109,83,100,96
"DPP7",0.12400279925347,3,63.1543512,51.20238095,3,0,72,103,112,76,96
"ITGAE",0.12395575848526,2,3.970150274,54.65238095,2,0,100,127,86,100,96
"TARS2",0.12342850368445,2,171.8285714,53.02619048,2,0,100,84,98,100,96
"MATN3",0.123379388716521,2,16.24631976,54.2702381,2,0,100,115,90,100,96
"RRP12",0.12324146635128,3,367.1071429,48.35238095,3,0,72,56,131,76,96
"SMOC1",0.123173984605009,2,10.92334332,54.21309524,2,0,100,119,91,100,96
"RBP4",0.122515261272324,2,12.26596737,53.8797619,2,0,100,117,92,100,96
"ESRP2",0.121820529709899,2,75.12871573,53.02738095,2,0,100,100,97,100,96
"AKR1C1",0.121069607207299,2,354,50.38690476,2,0,100,61,116,100,96
"RPGRIP1",0.121010332899563,2,44.88253968,52.87738095,2,0,100,107,100,100,96
"EDAR",0.119863117460961,2,354,49.79642857,2,0,100,61,121,100,96
"SERPIND1",0.119655676520033,2,4.144444444,52.54642857,2,0,100,126,102,100,96
"CASP4",0.119642904797092,2,8.635714286,52.50357143,2,0,100,122,103,100,96
"DYNC1I1",0.11908501923387,3,398.5456116,46.06190476,3,0,72,52,142,76,96
"MPST",0.119029295150512,2,12.83333333,52.16904762,2,0,100,116,107,100,96
"LRRIQ1",0.118194464295571,2,354,48.9797619,2,0,100,61,126,100,96
"PPFIA3",0.116968515036207,2,354,48.3797619,2,0,100,61,130,100,96
"HNMT",0.116443764945062,2,704,45.2702381,2,0,100,31,147,100,96
"EPHB1",0.115075836240145,2,2.272222222,50.3202381,2,0,100,129,117,100,96
