"","cas","cluster","inchikey","short_key","target_gene"
"356","125-04-2",4,"VWQWXZAWFPZJDA-UHFFFAOYSA-N","VWQWXZAWFPZJDA","NR3C1"
"357","382-67-2",4,"VWVSBHGCDBMOOT-UHFFFAOYSA-N","VWVSBHGCDBMOOT","NR3C1"
"358","638-94-8",4,"WBGKWQHBNHJJPZ-UHFFFAOYSA-N","WBGKWQHBNHJJPZ","NR3C1"
"359","356-12-7",4,"WJOHZNCJWYWUJD-UHFFFAOYSA-N","WJOHZNCJWYWUJD","NR3C1"
"360","3385-03-3",4,"XSFJVAJPIHIPKU-UHFFFAOYSA-N","XSFJVAJPIHIPKU","NR3C1"
"361","76-25-5",4,"YNDXUCZADRHECN-UHFFFAOYSA-N","YNDXUCZADRHECN","NR3C1"
"362","72590-77-3",5,"FOGXJPFPZOHSQS-UHFFFAOYSA-N","FOGXJPFPZOHSQS","NR3C1"
"363","76-90-4",5,"GKNPSSNBBWDAGH-UHFFFAOYSA-N","GKNPSSNBBWDAGH","CHRM3"
"364","76-90-4",5,"GKNPSSNBBWDAGH-UHFFFAOYSA-N","GKNPSSNBBWDAGH","CHRM2"
"365","76-90-4",5,"GKNPSSNBBWDAGH-UHFFFAOYSA-N","GKNPSSNBBWDAGH","CHRM1"
"366","115256-11-6",5,"IXTMWRCNAAVVAI-UHFFFAOYSA-N","IXTMWRCNAAVVAI","KCNH1"
"367","115256-11-6",5,"IXTMWRCNAAVVAI-UHFFFAOYSA-N","IXTMWRCNAAVVAI","KCNH2"
"368","55837-27-9",5,"UJEWTUDSLQGTOA-UHFFFAOYSA-N","UJEWTUDSLQGTOA","SLC12A1"
"369","55837-27-9",5,"UJEWTUDSLQGTOA-UHFFFAOYSA-N","UJEWTUDSLQGTOA","SLC12A2"
"370","151-73-5",5,"VQODGRNSFPNSQE-UHFFFAOYSA-N","VQODGRNSFPNSQE","NR3C1"
"371","2392-39-4",5,"VQODGRNSFPNSQE-UHFFFAOYSA-N","VQODGRNSFPNSQE","NR3C1"
"372","67-78-7",5,"XGMPVBXKDAHORN-UHFFFAOYSA-N","XGMPVBXKDAHORN","NR3C1"
"373","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFB1"
"374","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFA4"
"375","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFB7"
"376","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFA5"
"377","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFB11"
"378","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFS6"
"379","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFS5"
"380","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFS7"
"381","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFS8"
"382","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFV1"
"383","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFAB1"
"384","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFAF1"
"385","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","MT-ND6"
"386","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","MT-ND1"
"387","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","MT-ND3"
"388","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","MT-ND5"
"389","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFB5"
"390","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFC1"
