"","cas","cluster","inchikey","short_key","target_gene"
"200","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","HTR2A"
"201","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","KCNA10"
"202","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","KCNH2"
"203","3416-26-0",2,"ZBIAKUMOEKILTF-UHFFFAOYSA-N","ZBIAKUMOEKILTF","SCN1A"
"204","3416-26-0",2,"ZBIAKUMOEKILTF-UHFFFAOYSA-N","ZBIAKUMOEKILTF","SCN3A"
"205","3416-26-0",2,"ZBIAKUMOEKILTF-UHFFFAOYSA-N","ZBIAKUMOEKILTF","SLC29A1"
"206","2152-44-5",3,"SNHRLVCMMWUAJD-UHFFFAOYSA-N","SNHRLVCMMWUAJD","NR3C1"
"207","51333-22-3",3,"VOVIALXJUBGFJZ-UHFFFAOYSA-N","VOVIALXJUBGFJZ","NR3C1"
"208","83919-23-7",3,"WOFMFGQZHJDGCX-UHFFFAOYSA-N","WOFMFGQZHJDGCX","NR3C1"
"209","1177-87-3",4,"AKUJBENLRBOFTD-UHFFFAOYSA-N","AKUJBENLRBOFTD","NR3C1"
"210","50-03-3",4,"ALEXXDVDDISNDU-UHFFFAOYSA-N","ALEXXDVDDISNDU","NR3C1"
"211","13609-67-1",4,"BMCQMVFGOVHVNG-UHFFFAOYSA-N","BMCQMVFGOVHVNG","NR3C1"
"212","33564-31-7",4,"BOBLHFUVNSFZPJ-UHFFFAOYSA-N","BOBLHFUVNSFZPJ","NR3C1"
"213","25122-46-7",4,"CBGUOGMQLZIXBE-UHFFFAOYSA-N","CBGUOGMQLZIXBE","NR3C1"
"214","25122-46-7",4,"CBGUOGMQLZIXBE-UHFFFAOYSA-N","CBGUOGMQLZIXBE","PLA2G1B"
"215","82034-46-6",4,"DMKSVUSAATWOCU-UHFFFAOYSA-N","DMKSVUSAATWOCU","NR3C1"
"216","426-13-1",4,"FAOZLTXFLGPHNG-UHFFFAOYSA-N","FAOZLTXFLGPHNG","NR3C1"
"217","14484-47-0",4,"FBHSPRKOSMHSIF-UHFFFAOYSA-N","FBHSPRKOSMHSIF","NR3C1"
"218","25122-57-0",4,"FBRAWBYQGRLCEK-UHFFFAOYSA-N","FBRAWBYQGRLCEK","NR3C1"
"219","67-73-2",4,"FEBLZLNTKCEFIT-UHFFFAOYSA-N","FEBLZLNTKCEFIT","NR3C1"
"220","67-73-2",4,"FEBLZLNTKCEFIT-UHFFFAOYSA-N","FEBLZLNTKCEFIT","SERPINA6"
"221","520-85-4",4,"FRQMUZJSZHZSGN-UHFFFAOYSA-N","FRQMUZJSZHZSGN","PGR"
"222","57524-89-7",4,"FZCHYNWYXKICIO-UHFFFAOYSA-N","FZCHYNWYXKICIO","NR3C1"
